Дата,Индекс МосБиржи нефти и газа
3/15/2019,7000.07
3/14/2019,6932.02
3/13/2019,6958.22
3/12/2019,6951.79
3/11/2019,6974.91
3/7/2019,7030.17
3/6/2019,7089.19
3/5/2019,7022.53
3/4/2019,7055.60
3/1/2019,7053.52
2/28/2019,7085.50
2/27/2019,7142.85
2/26/2019,7137.72
2/25/2019,7134.22
2/22/2019,7175.15
2/21/2019,7120.39
2/20/2019,7147.72
2/19/2019,7084.23
2/18/2019,7100.20
2/15/2019,7142.47
2/14/2019,7034.03
2/13/2019,7074.51
2/12/2019,7236.18
2/11/2019,7180.32
2/8/2019,7198.60
2/7/2019,7233.60
2/6/2019,7303.30
2/5/2019,7349.64
2/4/2019,7264.25
2/1/2019,7247.75
1/31/2019,7250.85
1/30/2019,7265.64
1/29/2019,7214.82
1/28/2019,7150.11
1/25/2019,7198.27
1/24/2019,7111.88
1/23/2019,7196.78
1/22/2019,7119.65
1/21/2019,7119.08
1/18/2019,7135.71
1/17/2019,7084.32
1/16/2019,7064.21
1/15/2019,7107.10
1/14/2019,7118.38
1/11/2019,7130.18
1/10/2019,7107.63
1/9/2019,7018.49
1/8/2019,6996.78
1/4/2019,7082.17
1/3/2019,7000.79
12/29/2018,7022.11
12/28/2018,6962.94
12/27/2018,6862.21
12/26/2018,6805.39
12/25/2018,6734.97
12/24/2018,6823.55
12/21/2018,6872.86
12/20/2018,6884.56
12/19/2018,6914.76
12/18/2018,6916.25
12/17/2018,6980.98
12/14/2018,7002.80
12/13/2018,7007.73
12/12/2018,7011.58
12/11/2018,7109.67
12/10/2018,7125.75
12/7/2018,7231.52
12/6/2018,7181.66
12/5/2018,7270.02
12/4/2018,7225.77
12/3/2018,7172.48
11/30/2018,7003.24
11/29/2018,7007.10
11/28/2018,6997.25
11/27/2018,6825.86
11/26/2018,6753.11
11/23/2018,6831.02
11/22/2018,6934.94
11/21/2018,6930.31
11/20/2018,6901.45
11/19/2018,7000.58
11/16/2018,6983.59
11/15/2018,6989.99
11/14/2018,6999.44
11/13/2018,7038.85
11/12/2018,7137.76
11/9/2018,7180.25
11/8/2018,7269.28
11/7/2018,7313.09
11/6/2018,7227.99
11/2/2018,7107.48
11/1/2018,7080.06
10/31/2018,7063.78
10/30/2018,6900.38
10/29/2018,6995.66
10/26/2018,6947.53
10/25/2018,7027.53
10/24/2018,7044.10
10/23/2018,7000.91
10/22/2018,7006.05
10/19/2018,7099.73
10/18/2018,7120.12
10/17/2018,7196.69
10/16/2018,7240.38
10/15/2018,7218.16
10/12/2018,7266.25
10/11/2018,7159.26
10/10/2018,7346.93
10/9/2018,7392.13
10/8/2018,7433.59
10/5/2018,7460.52
10/4/2018,7489.78
10/3/2018,7552.02
10/2/2018,7364.31
10/1/2018,7436.13
